Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Dixon,model option,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,ND,IHPV,M13,1250,3,A,500,50,A,1.67,0.14,A,0,0,A,47.51,0.45,A,17.6,0.26,A,2.3,0.31,A,6.94,0.23,A,10.8,0.38,A,0.9,0.05,A,9.14,0.43,A,0.15,0.1,A,0.24,0.03,A,,,ND,,,ND,2.6,NNO,,,1,0.08,A,0,0.08,CALC,T,95.58,49.70705168,2.65745972,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,302.4994849,54.1544211,1,0,0,0
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,ND,IHPV,M14,1250,3,A,500,50,A,1.82,0.12,A,0,0,A,48.17,0.42,A,17.45,0.23,A,2.26,0.14,A,6.66,0.14,A,10.92,0.36,A,0.9,0.06,A,8.84,0.38,A,0.19,0.11,A,0.23,0.04,A,,,ND,0.36,0.02,A,2.6,NNO,,,1,0.05,A,0,0.05,CALC,F,95.62,50.37649027,2.604057729,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,345.4261931,45.65465901,1,0,0,0
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M15,1250,3,A,500,50,A,1.54,0.12,A,60,7,A,48.31,0.32,A,17.58,0.17,A,2.39,0.19,A,6.72,0.14,A,10.74,0.32,A,0.91,0.06,A,8.69,0.38,A,0.14,0.08,A,0.22,0.04,A,,,ND,0.32,0.02,A,2,NNO,,,0.48,0.08,A,0.52,0.08,CALC,F,95.7,50.48066876,2.727272727,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,344.8589599,41.68574582,0.70885911,0.049800145,0.29114089,0.049800145
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M16,1250,3,A,500,50,A,1.07,0.12,A,92,8,A,48.92,0.44,A,17.68,0.25,A,2.34,0.11,A,6.89,0.16,A,11.11,0.38,A,0.92,0.06,A,8.46,0.29,A,0.11,0.09,A,0.24,0.04,A,,,ND,0.27,0.02,A,1.28,NNO,,,0.2,0.08,A,0.8,0.08,CALC,F,96.67,50.60515155,2.668873487,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,300.2692701,35.46608085,0.38451407,0.062784459,0.61548593,0.062784459
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,ND,IHPV,M51,1250,3,A,500,50,A,2.24,0.11,A,0,0,A,47.69,0.28,A,17.39,0.19,A,2.27,0.09,A,6.7,0.14,A,10.72,0.19,A,0.89,0.03,A,8.92,0.31,A,0.21,0.11,A,0.25,0.05,A,,,ND,,,,2.58,NNO,,,0.98,0.03,A,0.02,0.03,CALC,T,95.04,50.17887205,2.651515152,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,528.0579729,51.46245994,1,0,0,0
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M50,1250,3,A,500,50,A,2.43,0.12,A,35,3,A,48.07,0.36,A,17.35,0.22,A,2.25,0.19,A,6.69,0.14,A,10.77,0.28,A,0.88,0.03,A,8.65,0.48,A,0.19,0.12,A,0.24,0.04,A,,,ND,0.3,0.02,A,2.27,NNO,,,0.67,0.06,A,0.33,0.06,CALC,F,95.09,50.55210853,2.618571879,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,661.2986639,58.1182452,0.917972622,0.014062137,0.082027378,0.014062137
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M49,1250,3,A,500,50,A,1.25,0.12,A,114,10,A,48.93,0.35,A,17.73,0.2,A,2.46,0.22,A,6.91,0.21,A,10.89,0.26,A,0.92,0.07,A,8.52,0.38,A,0.14,0.1,A,0.24,0.03,A,,,ND,0.25,0.02,A,1.64,NNO,,,0.31,0.08,A,0.69,0.08,CALC,F,96.74,50.5788712,2.790986148,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,390.5483772,40.01797386,0.407499585,0.056356515,0.592500415,0.056356515
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,ND,IHPV,M6,1250,3,A,1000,50,A,2.8,0.13,A,0,0,A,47.48,0.28,A,17.24,0.1,A,2.41,0.15,A,6.62,0.23,A,10.72,0.08,A,0.88,0.06,A,8.53,0.3,A,0.23,0.07,A,0.22,0.05,A,,,ND,,,,2.6,NNO,,,1,0.05,A,0,0.05,CALC,T,94.33,50.33393406,2.788084385,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,814.3794909,71.7587164,1,0,0,0
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,ND,IHPV,M7,1250,3,A,1000,50,A,2.97,0.12,A,0,0,A,47.38,0.21,A,16.93,0.29,A,2.33,0.08,A,6.47,0.15,A,10.84,0.44,A,0.9,0.06,A,8.66,0.37,A,0.16,0.02,A,0.23,0.04,A,,,ND,,,,2.18,NNO,,,0.6,0.08,A,0.4,0.08,CALC,F,93.9,50.45793397,2.726304579,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,912.7861596,70.11000516,1,0,0,0
Shishkina et al. (2010) Chem Geol,10.1016/j.chemgeo.2010.07.014,Basalt,"Mutnovsky, Kamchatka",Natural,KFT,FTIR,IHPV,M8,1250,3,A,1000,50,A,2.26,0.12,A,157,13,A,47.93,0.35,A,17.4,0.16,A,2.36,0.16,A,6.67,0.15,A,10.91,0.34,A,0.92,0.03,A,8.91,0.62,A,0.18,0.11,A,0.24,0.04,A,,,ND,0.29,0.02,A,2.02,NNO,,,0.49,0.05,A,0.51,0.05,CALC,T,95.52,50.1779732,2.721943049,triangle-right,#0173b2,Y,Y,Y,N,N,Dixon,772.513849,59.92755103,0.702217484,0.036779373,0.297782516,0.036779373
