Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,model option,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A83,1300,5,A,2000,50,A,2.82,0.1,A,1460,160,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.24,0.15,A,0.76,0.15,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,3074.658576,178.0372569,0.455223331,0.030868261,0.544776669,0.030868261
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A84,1300,5,A,2000,50,A,2.12,0.16,A,1170,120,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.25,0.23,A,0.75,0.23,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,2393.008934,166.3728202,0.361174482,0.040460326,0.638825518,0.040460326
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A87,1300,5,A,2000,50,A,1.45,0.07,A,1310,140,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.35,0.28,A,0.65,0.28,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,2297.008424,178.3286366,0.199575959,0.020142068,0.800424041,0.020142068
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A82,1300,5,A,2000,50,A,0.83,0.09,A,1380,140,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,6.912,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.15,0.25,A,0.85,0.25,CALC,T,99.722,57.60012836,4.943743607,diamond,#029e73,Y,N,Y,N,IaconoMarziano,2235.164444,191.8923784,0.078058657,0.016306925,0.921941343,0.016306925
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A75,1300,5,A,5000,50,A,7.97,0.28,A,3210,340,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.49,0.17,A,0.51,0.17,CALC,T,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,7684.843062,255.7265752,0.820346475,0.019403253,0.179653525,0.019403253
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A76,1300,5,A,5000,50,A,5.57,0.11,A,3630,380,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.46,0.16,A,0.54,0.16,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,6357.901923,232.513532,0.631234973,0.021618359,0.368765027,0.021618359
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A77,1300,5,A,5000,50,A,3.11,0.05,A,3740,380,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.17,0.24,A,0.83,0.24,CALC,T,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,5236.417437,306.0790597,0.329458135,0.018108155,0.670541865,0.018108155
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A74,1300,5,A,5000,50,A,0.89,0.09,A,4510,460,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.18,0.22,A,0.82,0.22,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,5427.54212,376.8286816,0.039332597,0.007308763,0.960667403,0.007308763
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A79,1200,5,A,2000,50,A,3.33,0.14,A,1010,118,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.2,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.45,0.15,A,0.55,0.15,CALC,F,100.01,57.43425657,4.929507049,diamond,#029e73,Y,N,Y,N,IaconoMarziano,2901.333871,156.1401389,0.620394681,0.032691738,0.379605319,0.032691738
Botcharnikov et al. (2006) Chem. Geol.,10.1016/j.chemgeo.2006.01.016,Andesite,"Unzen, Japan",Synthetic,FTIR,FTIR,IHPV,A80,1200,5,A,2000,50,A,3.04,0.05,A,1300,130,A,57.44,0.01,R,17.53,0.01,R,3.32,0.01,R,4.31,0.01,R,7.42,0.01,R,1.06,0.01,R,7.128,0.01,R,0.12,0.01,R,1.61,0.01,R,,,ND,,,,[+1.5 to +4],DFMQ,,,0.21,0.21,A,0.79,0.21,CALC,F,99.938,57.47563489,4.933058496,diamond,#029e73,Y,N,Y,N,IaconoMarziano,3022.514863,141.5892126,0.522267805,0.023507617,0.477732195,0.023507617
