Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Solwcad,model option,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,DSB6,885,3,A,2000,10,A,6.53,0.17,A,34,9,A,71.09,0.3,A,15.97,0.1,A,4.91,0.24,A,0.76,0.05,A,2.88,0.07,A,0.3,0.02,A,2.08,0.1,A,0.02,0.03,A,1.88,0.13,A,0.1,0.03,A,,,,,,ND,,,,ND,,,ND,T,,,,,99.99,71.09710971,6.790679068,diamond,#cc78bc,N,N,N,N,,Liu,2492.75349,107.0350621,0.981457655,0.004965697,0.018542345,0.004965697
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB26,885,3,A,1750,10,A,6.69,0.28,A,63,10,A,71.94,0.16,A,15.56,0.1,A,4.82,0.2,A,0.74,0.05,A,2.58,0.05,A,0.31,0.02,A,1.88,0.12,A,0.05,0.04,A,2.02,0.08,A,0.12,0.04,A,,,,2.7,DNNO,NR,,,,ND,,,ND,F,,,,,100.02,71.92561488,6.838632274,diamond,#cc78bc,N,N,N,N,,Liu,2638.303509,169.301097,0.968280039,0.005702449,0.031719961,0.005702449
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB30,885,3,A,1500,10,A,6.15,0.36,A,76,16,A,73.15,0.26,A,14.84,0.18,A,4.66,0.16,A,0.67,0.05,A,2.17,0.05,A,0.3,0.02,A,1.86,0.08,A,0.06,0.04,A,2.16,0.1,A,0.13,0.04,A,,,,,,ND,,,,ND,,,ND,F,,,,,100,73.15,6.82,diamond,#cc78bc,N,N,N,N,,Liu,2350.658294,217.4409105,0.953918103,0.01066924,0.046081897,0.01066924
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB32,885,3,A,1000,10,A,4.78,0.1,A,49,15,A,76.38,0.32,A,13.29,0.17,A,4.51,0.21,A,0.35,0.06,A,1.33,0.04,A,0.29,0.04,A,1.26,0.11,A,0.03,0.04,A,2.48,0.12,A,0.09,0.02,A,,,,2.3,DNNO,NR,,,,ND,,,ND,F,,,,,100.01,76.37236276,6.98930107,diamond,#cc78bc,N,N,N,N,,Liu,1544.571444,57.54285569,0.950875516,0.01439008,0.049124484,0.01439008
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB33,885,3,A,500,10,A,3.2,0.5,A,57,11,A,78.24,0.52,A,11.99,0.11,A,3.8,0.26,A,0.15,0.08,A,0.85,0.07,A,0.24,0.04,A,1.76,0.1,A,0.05,0.06,A,2.8,0.09,A,0.12,0.03,A,,,,,,ND,,,,ND,,,ND,F,,,,,100,78.24,6.6,diamond,#cc78bc,N,N,N,N,,Liu,847.6578599,205.2101498,0.884000913,0.035304602,0.115999087,0.035304602
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB37,885,3,A,2000,10,A,4.94,0.03,A,700,32,A,76.6,0.22,A,13.05,0.12,A,4.22,0.2,A,0.35,0.06,A,1.35,0.08,A,0.29,0.03,A,1.42,0.13,A,0.05,0.06,A,2.56,0.09,A,0.1,0.04,A,,,,,,ND,,,,ND,,,ND,F,,,,,99.99,76.60766077,6.780678068,diamond,#cc78bc,N,N,N,N,,Liu,2806.623574,60.97130417,0.623283103,0.009612108,0.376716897,0.009612108
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB42,885,3,A,2000,10,A,5.09,0.23,A,615,22,A,74.82,0.44,A,13.94,0.14,A,4.65,0.47,A,0.46,0.05,A,1.72,0.04,A,0.34,0.03,A,1.49,0.16,A,0.06,0.04,A,2.41,0.12,A,0.1,0.04,A,,,,,,ND,,,,ND,,,ND,F,,,,,99.99,74.82748275,7.060706071,diamond,#cc78bc,N,N,N,N,,Liu,2729.347482,128.17875,0.661798394,0.021821884,0.338201606,0.021821884
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB43,885,3,A,2000,10,A,6.13,0.22,A,320,26,A,73.02,0.29,A,15.07,0.21,A,4.91,0.26,A,0.61,0.05,A,2.18,0.04,A,0.3,0.01,A,1.6,0.1,A,0.07,0.06,A,2.13,0.09,A,0.11,0.03,A,,,,,,ND,,,,ND,,,ND,F,,,,,100,73.02,7.04,diamond,#cc78bc,N,N,N,N,,Liu,2760.279513,139.5281471,0.839350628,0.015587192,0.160649372,0.015587192
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB44,885,3,A,1750,10,A,5.44,0.14,A,424,24,A,75.61,0.45,A,13.52,0.16,A,4.47,0.21,A,0.58,0.1,A,1.5,0.05,A,0.34,0.05,A,1.41,0.38,A,0.06,0.04,A,2.42,0.13,A,0.09,0.04,A,,,,,,ND,,,,ND,,,ND,F,,,,,100,75.61,6.89,diamond,#cc78bc,N,N,N,N,,Liu,2566.662285,88.07746823,0.756398958,0.013150736,0.243601042,0.013150736
Riker et al. (2015) ,10.1007/s00410-015-1160-5,Rhyolite,Mount St. Helens,Synthetic,SIMS,SIMS,EHCS,PSB45,885,3,A,1750,10,A,6.16,0.48,A,234,22,A,73.97,0.57,A,14.53,0.18,A,4.71,0.43,A,0.77,0.28,A,1.86,0.06,A,0.3,0.03,A,1.47,0.16,A,0.05,0.05,A,2.24,0.08,A,0.11,0.03,A,,,,,,ND,,,,ND,,,ND,F,,,,,100.01,73.96260374,6.949305069,diamond,#cc78bc,N,N,N,N,,Liu,2642.168705,276.4732996,0.875150876,0.021541574,0.124849124,0.021541574
